ra,dec,Instrument,Source,SIMBAD_Name,Source_Type
341.835079,-65.05872,uvit1, IC 5250,IC 5250,IG
9.421279,-33.716331,uvit1, Cartwheel,NAME Cartwheel,Galaxy
9.476917,40.683486,uvit1, M31 Field No. 18,0.0,0.0
9.801542,40.288367,uvit1, M31 Field No. 15,[DMM2009] J003913.88+401657.1,Star
84.429171,-70.57083,uvit1, RX J0537.7-7034,RX J0537.6-7033,XB
8.406667,28.739167,uvit1, AGC 102983,AGC 102983,Galaxy
147.37625,55.579719999999995,uvit1, Mrk22,Mrk   22,Seyfert_1
335.029167,58.12805600000001,uvit1, NGC 7261,NGC  7261,OpCl
138.010125,-64.8684,laxpc1, MAXI J0911-655,SWIFT J0911.9-6452,X
128.836062,-45.176432,laxpc1, Vela Pulsar,NAME Vela Pulsar,Pulsar
12.913333,-72.28433299999999,uvit1, Swift J005139.2-721704,SXP 4.78,HMXB
140.3958,-31.445,sxt, 4U 0923-31,4U 0923-31,X
85.127083,69.37844399999999,uvit1, NGC 1961,0.0,0.0
138.010125,-64.8684,laxpc1, MAXI J0911-655,SWIFT J0911.9-6452,X
237.391917,70.348089,laxpc2, Blank Sky-8,0.0,0.0
350.049167,22.401944,uvit1, AGC 334315 (originally T0,AGC 334315,LSB_G
10.510083,40.557781,uvit1, M31 Field No. 16,2MASS J00420178+4033086,Star
9.476917,40.683486,uvit1, M31 Field No. 18,0.0,0.0
9.801542,40.288367,uvit1, M31 Field No. 15,[DMM2009] J003913.88+401657.1,Star
53.458332999999996,-27.966666999999998,uvit2, CDFS03,0.0,0.0
304.924083,28.5588,ssm, SSM1_Crab,0.0,0.0
7.4875419999999995,32.893678,uvit1, MRK 950,NAME AT 2016fnl,Transient
53.123692000000005,-27.735364,uvit1, AUDISGOODSS,EIS-DEEP CDFS-1 J 1  171,Star
20.786033,34.346821999999996,sxt, 1es 0120+340,4FGL J0123.1+3421,BLLac
178.342971,-11.08683,uvit1, PKS J1153-1105,QSO B1150-1048,QSO
20.786033,34.346821999999996,sxt, 1es 0120+340,4FGL J0123.1+3421,BLLac
53.123692000000005,-27.735364,uvit1, AUDISGOODSS,EIS-DEEP CDFS-1 J 1  171,Star
